phenotype_group,n,interpretation
established_chronic_or_nonunion,23,Text-supported established chronic/nonunion phenotype defined from non-operative clinical text; not necessarily incident nonunion observed longitudinally.
other_wrist_scaphoid,49,Wrist-scaphoid cases without the v0.2 chronic/nonunion terms in diagnosis/complaint/examination text.
