procedure_combination,n,percent
k_wire+osteotomy+resection+soft_tissue,39,34.5%
chevron+k_wire+osteotomy+resection+soft_tissue,22,19.5%
chevron+k_wire+osteotomy+soft_tissue,18,15.9%
osteotomy+resection+soft_tissue,6,5.3%
k_wire+osteotomy+soft_tissue,5,4.4%
other_or_rare_combinations_(each_<5),23,20.4%
